"Id","Name","Status","Details"
"ENT-S01","Mesa abandonada: orden conservada, mesa ocupada","PASS","ghostReleased=0"
"ENT-S01b","Supervisor recupera orden activa","PASS",""
"ENT-S02","Cliente regresa: misma orden recuperable","PASS",""
"ENT-S05","Producto listo sin servir: estado Ready","FAIL","status=SentToKitchen"
"ENT-S06","MarkItemReady records DeliveredByUserId","MEDIUM","Sin validacion mesa destino"
"ENT-S07","Segunda tanda tras Ã­tem listo","PASS","pending=2"
"ENT-S08","Solo bebida lista, resto pendiente","PASS","ready=1 pending=3"
"ENT-S09","Rechazo cocina vÃ­a cancel supervisor","PASS",""
"ENT-S10","Last ingredient concurrent orders","PASS","ok=1"
"ENT-S11","Merge two tables","PASS","cap=8 parent=23c1d592-7e88-456f-bdd0-917e0b4c8513"
"ENT-S12","Split large table","PASS","cap=4"
"ENT-S13","Orden VIP prioridad en BD","PASS","is_vip=t"
"ENT-S14","Manager marca urgente priority=50","PASS","priority=50"
"ENT-S15","Cambio estaciÃ³n Hornoâ†’Horno B","PASS",""
"ENT-S16","Un Ã­tem una estaciÃ³n","PASS","stations=1"
"ENT-S17","Horno inactivo: ruta a Horno B","PASS","fallback routing"
"ENT-S18","Bar offline routes to Bar Piso 2","PASS","station=Bar Piso 2"
"ENT-S19","Mover orden Piso1â†’Piso2","PASS",""
"ENT-S20","CorrecciÃ³n estaciÃ³n equivocada","PASS","UpdateItemStation"
"ENT-S21","Orden pagada: nuevo SendToKitchen bloqueado o nueva orden","GAP","status=200"
"ENT-S22","Pago parcial mientras cocina prepara","PASS",""
"ENT-S23","MarkItemReady post-cancel bloqueado","PASS","status=400"
"ENT-S24","Doble send misma mesa: una orden","PASS","items=2"
"ENT-S26","Orden 30 Ã­tems performance","PASS","ms=373 items=30"
"ENT-S27","Tras pago parcial agregar producto","PASS","items=2"
"ENT-S28","Productos todas estaciones","PASS","Cubierto OP-RTE-01..07 mix 6 estaciones"
"ENT-S29","Orden persiste + KDS recuperable","PASS","db=SentToKitchen"
"ENT-S30","Pico lite 10 Ã³rdenes + idempotencia pago","PASS","orders=10 idempotent=False"
